"","date","depth","mean_do"
"197",2020-01-05,13,10.1288020835
"198",2020-01-05,13.5,10.31127604175
"199",2020-01-05,14,10.49375
"200",2020-01-05,14.5,10.2410234375
"201",2020-01-05,15,9.988296875
"202",2020-01-05,15.5,9.7355703125
"203",2020-01-05,16,9.48284375
"204",2020-01-05,16.5,9.144921875
"205",2020-01-05,17,8.807
"206",2020-01-05,17.5,8.469078125
"207",2020-01-05,18,8.13115625
"208",2020-01-05,18.5,7.5753359375
"209",2020-01-05,19,7.019515625
"210",2020-01-05,19.5,6.4636953125
"211",2020-01-05,20,5.907875
"212",2020-01-05,20.5,4.44680208325
"213",2020-01-05,21,2.9857291665
"214",2020-01-05,21.5,1.52465624975
"215",2020-01-05,22,0.063583333
"216",2020-01-06,1,11.4425925925926
"217",2020-01-06,1.5,11.2407407407407
"218",2020-01-06,2,11.0388888888889
"219",2020-01-06,2.5,10.9512417052315
"220",2020-01-06,3,10.8635945215741
"221",2020-01-06,3.5,10.7759473379167
"222",2020-01-06,4,10.24867708
"223",2020-01-06,4.5,10.290023435
"224",2020-01-06,5,10.33136979
"225",2020-01-06,5.5,10.372716145
"226",2020-01-06,6,10.4140625
"227",2020-01-06,6.5,10.06554427075
"228",2020-01-06,7,9.7170260415
"229",2020-01-06,7.5,9.36850781225
"230",2020-01-06,8,9.019989583
"231",2020-01-06,8.5,9.45717968725
"232",2020-01-06,9,9.8943697915
"233",2020-01-06,9.5,10.33155989575
"234",2020-01-06,10,10.76875
"235",2020-01-06,10.5,10.4485
"236",2020-01-06,11,10.12825
"237",2020-01-06,11.5,9.808
"238",2020-01-06,12,9.48775
"239",2020-01-06,12.5,9.6968020825
"240",2020-01-06,13,9.905854165
"241",2020-01-06,13.5,10.1149062475
"242",2020-01-06,14,10.32395833
"243",2020-01-06,14.5,10.059804685
"244",2020-01-06,15,9.79565104
"245",2020-01-06,15.5,9.531497395
"246",2020-01-06,16,9.26734375
"247",2020-01-06,16.5,8.93214322925
"248",2020-01-06,17,8.5969427085
"249",2020-01-06,17.5,8.26174218775
"250",2020-01-06,18,7.926541667
"251",2020-01-06,18.5,7.384700521
"252",2020-01-06,19,6.842859375
"253",2020-01-06,19.5,6.301018229
"254",2020-01-06,20,5.759177083
"255",2020-01-06,20.5,4.3352786455
"256",2020-01-06,21,2.911380208
"257",2020-01-06,21.5,1.4874817705
"258",2020-01-06,22,0.063583333
"259",2020-01-07,1,11.4111111111111
